date,JPM,BAC,WFC,C,BK,JPM_ret,BAC_ret,WFC_ret,C_ret,BK_ret,port_ret,port_volume
2020-01-02,125.0203857421875,32.53140640258789,48.72734832763672,70.52587127685547,45.34571075439453,,,,,,,
2020-01-03,123.3705825805664,31.855945587158203,48.42818832397461,69.19747924804688,44.76686096191406,-0.01319627316638794,-0.020763345029434555,-0.006139468161710626,-0.01883552808009803,-0.012765260106202492,-0.009244121183355757,99.07558788166443
2020-01-06,123.27247619628906,31.81031036376953,48.13808441162109,68.98040771484375,45.18541717529297,-0.000795216997644288,-0.0014325496401861315,-0.005990393661079896,-0.0031369861382523068,0.009349688684560542,-0.0015215360573891876,98.92484080229545
2020-01-07,121.17679595947266,31.60037612915039,47.73920822143555,68.38134002685547,45.63957977294922,-0.01700039052902136,-0.006599565745144198,-0.00828608356690752,-0.008684606366270664,0.010051087851958185,-0.006499256381585541,98.2819028994138
2020-01-08,122.12207794189452,31.91984367370605,47.88425064086914,68.90229034423828,45.693016052246094,0.007800849782643171,0.010109612089742148,0.0030382242361628453,0.007618311035996417,0.0011708319744114792,0.003792873945366614,98.65467376822203
2020-01-09,122.56794738769533,31.97460556030273,47.80266952514648,69.52740478515625,45.84439849853516,0.003651014241773387,0.001715606353103416,-0.001703714992524752,0.009072476949530728,0.003313032479974165,0.0006380838649880007,98.71762372375917
2020-01-10,121.34620666503906,31.70989990234375,47.59415054321289,68.8067626953125,45.00730895996094,-0.009967864753349986,-0.00827862152856762,-0.004362078185275786,-0.010364863927692647,-0.018259363542548646,-0.008626901189191736,97.8659965382625
2020-01-13,122.35391235351562,32.00199890136719,47.24060821533203,70.02228546142578,45.310089111328125,0.008304385577195816,0.009211602683168563,-0.007428272673127401,0.017665745611311623,0.006727355142173597,-0.000665467000106987,97.80086994713369
2020-01-14,123.78079986572266,32.23931121826172,44.69318008422852,71.11625671386719,45.42584991455078,0.011661968830913638,0.007415546685878738,-0.053924541349929855,0.015623186893036545,0.0025548571078337634,-0.026308205740150577,95.22790453899879
2020-01-15,121.92587280273438,31.64601325988769,43.80475234985352,70.5345230102539,45.14088821411133,-0.014985579871842014,-0.018402935297139877,-0.01987837367358225,-0.008180038299173353,-0.006273117640627213,-0.015843361994587555,93.71917437540141
2020-01-16,122.39852905273438,31.6916446685791,44.64785385131836,70.32615661621094,41.60548782348633,0.003876586971534035,0.0014419323001817475,0.019246804427320408,-0.0029541050984732697,-0.0783192473718276,-0.0049627524799679915,93.25406931034934
2020-01-17,123.24571228027344,31.68251609802246,44.58438873291016,70.43035888671875,41.124603271484375,0.0069215147771428676,-0.0002880434465331039,-0.0014214595536784502,0.0014817000604265829,-0.011558200063465973,-0.001565836488533436,93.10804868591896
2020-01-21,122.03289031982422,31.271766662597656,44.366825103759766,69.37112426757812,41.65891647338867,-0.00984068279544803,-0.012964545939280425,-0.004879816351273658,-0.01503946076498508,0.012992543621078267,-0.002323787224595015,92.89168539187564
2020-01-22,121.89019775390624,31.363052368164062,44.02232360839844,69.54476928710938,41.6143913269043,-0.0011692959622935373,0.0029191093215590325,-0.007764844443019059,0.002503131113479773,-0.0010688023178139217,-0.004763670244948147,92.44918003417129
2020-01-23,121.7653350830078,31.143983840942383,43.7140998840332,69.28430938720703,41.87264251708984,-0.0010243864822545579,-0.006984923681855992,-0.0070015323840477706,-0.003745211934301773,0.006205814429840695,-0.0028023975798246717,92.19010067578675
2020-01-24,118.7421646118164,30.61457252502441,43.12483978271485,68.08614349365234,41.19135665893555,-0.024827841759154867,-0.01699883093382548,-0.013479863542462667,-0.01729346664709519,-0.01627042902477982,-0.0167715411148833,90.64393061191755
2020-01-27,117.74335479736328,29.984750747680664,42.6987533569336,66.60148620605469,40.38455581665039,-0.008411585031470215,-0.020572613804387685,-0.009880301652785084,-0.02180557175684461,-0.01958665379646185,-0.011599939584232813,89.59246649314193
2020-01-28,119.8836669921875,30.34073829650879,42.94352340698242,67.06163787841797,40.31284713745117,0.01817777486048122,0.011872286410640198,0.00573248703545759,0.00690903009190591,-0.0017756461040399074,0.007122016175593003,90.23054548871734
2020-01-29,119.70530700683594,30.130794525146484,42.85287094116211,66.40179443359375,39.85566329956055,-0.001487775522942436,-0.006919534037392316,-0.0021109694461067807,-0.009839357726700748,-0.011340896770000053,-0.003917882151505135,89.87703284502653
2020-01-30,121.18567657470705,30.559797286987305,43.43307113647461,67.22661590576172,40.69831085205078,0.012366783101659617,0.014238016906019002,0.013539354133568438,0.01242167443219988,0.021142479706253603,0.014859198453954642,91.21253351252336
2020-01-31,118.03765106201172,29.96650505065918,42.55371475219727,65.03292083740234,40.14251708984375,-0.02597687780993385,-0.01941414174827516,-0.02024624004860809,-0.032631347551905554,-0.013656433168135362,-0.02023192613289701,89.36712827210359
2020-02-03,118.93836212158205,30.09428596496582,42.71688461303711,65.66217803955078,40.52798080444336,0.007630709790193313,0.004264124698246441,0.0038344445788109915,0.009675979396984724,0.009602380282653922,0.005954616077291924,89.89927521089406
2020-02-04,120.65061950683594,30.687589645385746,42.84379959106445,66.85953521728516,41.19135665893555,0.014396174242786053,0.019714828293670772,0.002971072894876192,0.0182351121068991,0.016368342101550137,0.008542669596235966,90.66725501596183
2020-02-05,122.70169830322266,31.68251609802246,43.79569625854492,68.91339111328125,42.11468505859375,0.017000151385633933,0.03242113388942269,0.02221783960727408,0.030718967598582836,0.02241558604887328,0.021044252170684643,92.57527959414149
