,date,JPM,BAC,WFC,C,BK,JPM_ret,BAC_ret,WFC_ret,C_ret,BK_ret,port_ret,port_volume,quarter,DGS1,DGS10,DGS1MO,DGS2,DGS20,DGS3,DGS30,DGS3MO,DGS5,DGS6MO,DGS7,month,year,weekday,dayofweek,sentiment_bert,vader_neg,vader_neu,vader_pos,vader_compound,vader_compound_dummy,roberta_neg,roberta_neu,roberta_pos,roberta_compound,roberta_compound_dummy
13,2020-01-22,121.89019775390624,31.363052368164062,44.02232360839844,69.54476928710938,41.6143913269043,-0.0011692959622935,0.002919109321559,-0.007764844443019,0.0025031311134797,-0.0010688023178139,-0.0047636702449481,92.44918003417128,2020Q1,1.55,1.77,1.52,1.53,2.07,1.52,2.22,1.55,1.57,1.56,1.68,1.0,2020.0,2.0,Wednesday,1.4137931034482758,0.0603103448275862,0.798344827586207,0.1412758620689655,0.4176965517241379,2.4827586206896552,0.1532101783869338,0.5979195517198793,0.2488702833973641,0.0956601050104303,2.103448275862069
14,2020-01-23,121.7653350830078,31.143983840942383,43.7140998840332,69.28430938720703,41.87264251708984,-0.0010243864822545,-0.0069849236818559,-0.0070015323840477,-0.0037452119343017,0.0062058144298406,-0.0028023975798246,92.19010067578677,2020Q1,1.55,1.74,1.55,1.51,2.03,1.51,2.18,1.55,1.55,1.56,1.65,1.0,2020.0,3.0,Thursday,1.16,0.06488,0.82188,0.11316,0.34406,2.36,0.1215086263604461,0.6942872798442841,0.1842040842026471,0.062695457842201,2.04
15,2020-01-24,118.7421646118164,30.61457252502441,43.12483978271485,68.08614349365234,41.19135665893555,-0.0248278417591548,-0.0169988309338254,-0.0134798635424626,-0.0172934666470951,-0.0162704290247798,-0.0167715411148833,90.64393061191755,2020Q1,1.55,1.7,1.54,1.49,2.0,1.48,2.14,1.54,1.51,1.55,1.61,1.0,2020.0,4.0,Friday,1.4,0.0964,0.7988500000000001,0.1046999999999999,0.065315,2.15,0.2882250980474055,0.5673233866691589,0.1444515126757323,-0.1437735853716731,1.8
16,2020-01-27,117.74335479736328,29.984750747680664,42.6987533569336,66.60148620605469,40.38455581665039,-0.0084115850314702,-0.0205726138043876,-0.009880301652785,-0.0218055717568446,-0.0195866537964618,-0.0115999395842328,89.59246649314193,2020Q1,1.53,1.61,1.53,1.44,1.91,1.41,2.05,1.55,1.44,1.57,1.52,1.0,2020.0,0.0,Monday,1.1875,0.1044375,0.7765,0.119,0.04144375,2.125,0.3391440637642517,0.5882724495604634,0.0725834847544319,-0.2665605790098198,1.5
17,2020-01-28,119.8836669921875,30.34073829650879,42.94352340698242,67.06163787841797,40.31284713745117,0.0181777748604812,0.0118722864106401,0.0057324870354575,0.0069090300919059,-0.0017756461040399,0.007122016175593,90.23054548871734,2020Q1,1.53,1.65,1.53,1.45,1.95,1.45,2.1,1.57,1.47,1.58,1.56,1.0,2020.0,1.0,Tuesday,1.05,0.0802,0.7723,0.1475,0.293365,2.25,0.22652915189974,0.6303973458707333,0.1430735060246661,-0.0834556458750739,1.85
18,2020-01-29,119.70530700683594,30.130794525146484,42.85287094116211,66.40179443359375,39.85566329956055,-0.0014877755229424,-0.0069195340373923,-0.0021109694461067,-0.0098393577267007,-0.01134089677,-0.0039178821515051,89.87703284502653,2020Q1,1.51,1.6,1.52,1.42,1.89,1.39,2.05,1.56,1.41,1.57,1.51,1.0,2020.0,2.0,Wednesday,1.1136363636363635,0.0647272727272727,0.8133409090909091,0.1219772727272727,0.2972545454545454,2.340909090909091,0.1514025461087426,0.6486034437336705,0.1999940112000331,0.0485914650912904,2.136363636363636
19,2020-01-30,121.18567657470705,30.559797286987305,43.43307113647461,67.22661590576172,40.69831085205078,0.0123667831016596,0.014238016906019,0.0135393541335684,0.0124216744321998,0.0211424797062536,0.0148591984539546,91.21253351252336,2020Q1,1.48,1.57,1.59,1.41,1.88,1.37,2.04,1.57,1.39,1.57,1.49,1.0,2020.0,3.0,Thursday,1.064516129032258,0.081516129032258,0.789258064516129,0.1291935483870967,0.2210774193548387,2.290322580645161,0.1414124484234038,0.7015722413216868,0.1570153184114924,0.0156028699880886,2.032258064516129
20,2020-01-31,118.03765106201172,29.96650505065918,42.55371475219727,65.03292083740234,40.14251708984375,-0.0259768778099338,-0.0194141417482751,-0.020246240048608,-0.0326313475519055,-0.0136564331681353,-0.020231926132897,89.36712827210359,2020Q1,1.45,1.51,1.56,1.33,1.83,1.3,1.99,1.55,1.32,1.54,1.42,1.0,2020.0,4.0,Friday,1.0625,0.1270625,0.81475,0.058,-0.34669375,1.6875,0.3465206724358722,0.6093583106994629,0.0441209940472617,-0.3023996783886104,1.375
21,2020-02-03,118.93836212158205,30.09428596496582,42.71688461303711,65.66217803955078,40.52798080444336,0.0076307097901933,0.0042641246982464,0.0038344445788109,0.0096759793969847,0.0096023802826539,0.0059546160772919,89.89927521089406,2020Q1,1.46,1.54,1.56,1.36,1.84,1.34,2.01,1.57,1.35,1.56,1.45,2.0,2020.0,0.0,Monday,1.0,0.0694186046511627,0.8289534883720932,0.1015581395348837,0.1607,2.186046511627907,0.2554643186415697,0.6516034859557485,0.0929322017378411,-0.1625321169037285,1.744186046511628
22,2020-02-04,120.65061950683594,30.687589645385746,42.84379959106445,66.85953521728516,41.19135665893555,0.014396174242786,0.0197148282936707,0.0029710728948761,0.0182351121068991,0.0163683421015501,0.0085426695962359,90.66725501596184,2020Q1,1.48,1.61,1.55,1.41,1.91,1.4,2.08,1.57,1.42,1.57,1.52,2.0,2020.0,1.0,Tuesday,1.2093023255813953,0.0571860465116279,0.8222790697674418,0.1203953488372092,0.2796720930232558,2.4186046511627906,0.1988845148535315,0.6507088623421137,0.1504066141408889,-0.0484779007126425,1.837209302325581
23,2020-02-05,122.70169830322266,31.68251609802246,43.79569625854492,68.91339111328125,42.11468505859375,0.0170001513856339,0.0324211338894226,0.022217839607274,0.0307189675985828,0.0224155860488732,0.0210442521706846,92.57527959414148,2020Q1,1.49,1.66,1.55,1.44,1.97,1.43,2.14,1.57,1.46,1.57,1.57,2.0,2020.0,2.0,Wednesday,1.103448275862069,0.0974137931034482,0.7705862068965518,0.1320689655172413,0.0702896551724138,2.0689655172413794,0.220522342924157,0.572356450917392,0.2071212093377935,-0.0134011335863635,1.9310344827586208
24,2020-02-06,122.71954345703124,31.64601325988769,43.96060943603516,69.01828002929688,42.6166877746582,0.0001454352633691,-0.00115214454628,0.0037655110337027,0.0015220396837416,0.0119198971894487,0.0046094881549007,93.00200424886732,2020Q1,1.51,1.65,1.59,1.44,1.94,1.43,2.11,1.57,1.45,1.58,1.56,2.0,2020.0,3.0,Thursday,1.0666666666666669,0.0592666666666666,0.8211333333333334,0.1196,0.2366966666666666,2.2666666666666666,0.1105682792607694,0.685582235455513,0.2038494909803072,0.0932812117195377,2.1333333333333333
25,2020-02-07,122.32715606689452,31.59124183654785,43.83234024047852,68.7735595703125,42.35671615600586,-0.0031974319581307,-0.001730752714095,-0.0029178211403843,-0.0035457339545479,-0.0061002305018864,-0.003651795858413,92.6623799149272,2020Q1,1.49,1.59,1.57,1.41,1.89,1.39,2.05,1.56,1.41,1.57,1.51,2.0,2020.0,4.0,Friday,1.15625,0.0779374999999999,0.79346875,0.12865625,0.303365625,2.40625,0.1838436842663213,0.6298494078218937,0.1863069154787808,0.0024632312124595,1.96875
26,2020-02-10,122.83551788330078,31.66426658630371,43.76820755004883,68.59001922607422,41.67543029785156,0.004155756029579,0.0023115504649575,-0.0014631363526985,-0.0026687631901709,-0.0160844824618845,-0.0031965903208154,92.3661762481874,2020Q1,1.45,1.56,1.58,1.37,1.87,1.36,2.03,1.58,1.38,1.58,1.47,2.0,2020.0,0.0,Monday,1.2857142857142858,0.0801428571428571,0.8307857142857143,0.089,-0.0176214285714285,1.8571428571428568,0.2234608428552746,0.6372582518628666,0.1392809240413563,-0.0841799188139183,1.8571428571428568
27,2020-02-11,123.0673828125,31.737287521362305,43.96977615356445,69.12313842773438,41.61267852783203,0.0018876049305176,0.0023060990488936,0.0046053657391642,0.0077725477799179,-0.0015057257854579,0.0026740942561569,92.61317210955586,2020Q1,1.48,1.59,1.57,1.41,1.89,1.39,2.05,1.57,1.4,1.55,1.5,2.0,2020.0,1.0,Tuesday,1.263157894736842,0.0774736842105263,0.8016842105263158,0.1209473684210526,0.2397315789473684,2.3684210526315788,0.2335595995873996,0.6260400963457007,0.1404002975966584,-0.0931593019907411,1.894736842105263
